idx,year,race,location,type_simple,DemPredFinal,RepPredFinal,DemShareAct,RepShareAct
1,1998,1998_Gov-G_AL,AL,Gov-G,0.5799998235695255,0.4200001764304745,0.5781563126252505,0.4218436873747495
2,1998,1998_Gov-G_AR,AR,Gov-G,0.3626373626373626,0.6373626373626373,0.39289340101522846,0.6071065989847716
3,1998,1998_Gov-G_AZ,AZ,Gov-G,0.40152643896423584,0.5984735610357642,0.36787564766839376,0.6321243523316062
4,1998,1998_Gov-G_CA,CA,Gov-G,0.5675057998378145,0.43249420016218554,0.6016597510373444,0.3983402489626556
5,1998,1998_Gov-G_CO,CO,Gov-G,0.4783463324297529,0.521653667570247,0.4964102564102564,0.5035897435897436
6,1998,1998_Gov-G_CT,CT,Gov-G,0.30501423294804586,0.6949857670519541,0.36012207527975587,0.6398779247202442
7,1998,1998_Gov-G_FL,FL,Gov-G,0.424525527109741,0.5754744728902591,0.447,0.5529999999999999
8,1998,1998_Gov-G_GA,GA,Gov-G,0.46850685448634793,0.531493145513652,0.5440414507772021,0.45595854922279794
9,1998,1998_Gov-G_HI,HI,Gov-G,0.4449607712454803,0.5550392287545196,0.506572295247725,0.493427704752275
10,1998,1998_Gov-G_IA,IA,Gov-G,0.478870094323071,0.5211299056769291,0.5293522267206477,0.47064777327935226
11,1998,1998_Gov-G_IL,IL,Gov-G,0.4169561544669301,0.5830438455330699,0.48223350253807107,0.5177664974619289
12,1998,1998_Gov-G_KS,KS,Gov-G,0.22105263157894736,0.7789473684210526,0.23621227887617063,0.7637877211238293
13,1998,1998_Gov-G_MA,MA,Gov-G,0.44878182956436374,0.5512181704356363,0.4826883910386966,0.5173116089613035
14,1998,1998_Gov-G_MD,MD,Gov-G,0.5131234612511785,0.4868765387488215,0.5515515515515516,0.4484484484484484
15,1998,1998_Gov-G_MI,MI,Gov-G,0.38196414264322065,0.6180358573567792,0.37799999999999995,0.622
16,1998,1998_Gov-G_NE,NE,Gov-G,0.41307966318362,0.58692033681638,0.4604604604604604,0.5395395395395395
17,1998,1998_Gov-G_NH,NH,Gov-G,0.752808988764045,0.24719101123595508,0.6663306451612904,0.33366935483870974
18,1998,1998_Gov-G_NM,NM,Gov-G,0.45487099412130394,0.5451290058786961,0.455,0.545
